0                      {\n    "Annotator 1": ["disapproval", "confusion", "annoyance"],\n    "Annotator 2": ["approval", "caring", "neutral"],\n    "Annotator 3": ["disappointment", "disapproval"],\n    "Annotator 4": ["annoyance", "disappointment", "neutral"],\n    "Annotator 5": ["annoyance", "disappointment", "disapproval"]\n}                                                                                                                                                          {\n    "   1": ["disapproval", "confusion", "annoyance"],\n    "                     2": ["approval", "caring", "neutral"],\n    "                3": ["disappointment", "disapproval"],\n    "     4": ["annoyance", "disappointment", "neutral"],\n    "        5": ["annoyance", "disappointment", "disapproval"]\n}
1                                           { "Annotator 1": ["approval", "caring", "curiosity"], "Annotator 2": ["annoyance", "disappointment", "confusion"], "Annotator 3": ["admiration", "optimism", "realization"], "Annotator 4": ["fear", "nervousness", "remorse"], "Annotator 5": ["approval", "caring", "curiosity", "neutral"] }                                                                                                                                                               { "              1": ["approval", "caring", "curiosity"], "               2": ["annoyance", "disappointment", "confusion"], "             3": ["admiration", "optimism", "realization"], "                  4": ["fear", "nervousness", "remorse"], "         5": ["approval", "caring", "curiosity", "neutral"] }
2                                                                                                                                                 { "Annotator 1": ["approval", "curiosity"], "Annotator 2": ["approval"], "Annotator 3": ["curiosity", "optimism"], "Annotator 4": ["approval", "curiosity"], "Annotator 5": ["neutral"] }                                                                                                                                                               { "                        1": ["approval", "curiosity"], "                                               2": ["approval"], "                             3": ["curiosity", "optimism"], "                           4": ["approval", "curiosity"], "                                            5": ["neutral"] }
3                                                                                                          { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval", "optimism"], "Annotator 3": ["approval", "approval"], "Annotator 4": ["approval", "excitement", "pride"], "Annotator 5": ["approval", "caring", "relief"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                   2": ["approval", "optimism"], "                              3": ["approval", "approval"], "                 4": ["approval", "excitement", "pride"], "                       5": ["approval", "caring", "relief"] }
5                                                                                                                                                 { "Annotator 1": ["approval", "curiosity"], "Annotator 2": ["approval"], "Annotator 3": ["approval", "realization"], "Annotator 4": ["neutral"], "Annotator 5": ["approval", "neutral"] }                                                                                                                                                               { "                        1": ["approval", "curiosity"], "                                               2": ["approval"], "                           3": ["approval", "realization"], "                                         4": ["neutral"], "                                5": ["approval", "neutral"] }
7                                                           { "Annotator 1": ["disapproval", "anger"], "Annotator 2": ["annoyance", "disapproval", "fear"], "Annotator 3": ["disapproval", "nervousness", "realization"], "Annotator 4": ["anger", "disappointment", "disapproval"], "Annotator 5": ["disapproval", "remorse", "sadness"] }                                                                                                                                                               { "                         1": ["disapproval", "anger"], "                       2": ["annoyance", "disapproval", "fear"], "         3": ["disapproval", "nervousness", "realization"], "          4": ["anger", "disappointment", "disapproval"], "                  5": ["disapproval", "remorse", "sadness"] }
8                                                                                                                  { "Annotator 1": ["curiosity", "approval"], "Annotator 2": ["approval", "caring"], "Annotator 3": ["approval", "optimism", "realization"], "Annotator 4": ["approval", "pride"], "Annotator 5": ["approval", "relief"] }                                                                                                                                                               { "                        1": ["curiosity", "approval"], "                                     2": ["approval", "caring"], "               3": ["approval", "optimism", "realization"], "                               4": ["approval", "pride"], "                                 5": ["approval", "relief"] }
9                                                                                                 {"Annotator 1": ["approval", "caring", "optimism"], "Annotator 2": ["gratitude", "approval", "optimism"], "Annotator 3": ["pride", "optimism", "joy"], "Annotator 4": ["excitement", "optimism", "approval"], "Annotator 5": ["neutral"]}                                                                                                                                                                {"               1": ["approval", "caring", "optimism"], "                      2": ["gratitude", "approval", "optimism"], "                          3": ["pride", "optimism", "joy"], "              4": ["excitement", "optimism", "approval"], "                                             5": ["neutral"]}
10                                                                                                                                                                   { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval"], "Annotator 3": ["neutral"], "Annotator 4": ["approval", "relief"], "Annotator 5": ["approval"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                               2": ["approval"], "                                           3": ["neutral"], "                              4": ["approval", "relief"], "                                           5": ["approval"] }
11                                                                           { "Annotator 1": ["disapproval", "annoyance"], "Annotator 2": ["annoyance", "disapproval"], "Annotator 3": ["annoyance", "disapproval"], "Annotator 4": ["anger", "annoyance", "disapproval"], "Annotator 5": ["annoyance", "disappointment", "disapproval"] }                                                                                                                                                               { "                     1": ["disapproval", "annoyance"], "                               2": ["annoyance", "disapproval"], "                          3": ["annoyance", "disapproval"], "               4": ["anger", "annoyance", "disapproval"], "         5": ["annoyance", "disappointment", "disapproval"] }
12                                                                                                                                                                 { "Annotator 1": ["caring", "approval"], "Annotator 2": ["neutrality"], "Annotator 3": ["caring", "optimism"], "Annotator 4": ["neutral"], "Annotator 5": ["approval"] }                                                                                                                                                               { "                           1": ["caring", "approval"], "                                             2": ["neutrality"], "                                3": ["caring", "optimism"], "                                         4": ["neutral"], "                                           5": ["approval"] }
13                                                                                                                                                                   { "Annotator 1": ["approval", "caring"], "Annotator 2": ["neutral"], "Annotator 3": ["approval"], "Annotator 4": ["caring", "optimism"], "Annotator 5": ["approval"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                                2": ["neutral"], "                                          3": ["approval"], "                              4": ["caring", "optimism"], "                                           5": ["approval"] }
14                                                                                  {"Annotator 1": ["approval", "curiosity"], "Annotator 2": ["approval", "caring"], "Annotator 3": ["approval", "curiosity", "optimism"], "Annotator 4": ["approval", "excitement", "optimism"], "Annotator 5": ["approval", "curiosity", "realization"]}                                                                                                                                                                {"                        1": ["approval", "curiosity"], "                                     2": ["approval", "caring"], "                 3": ["approval", "curiosity", "optimism"], "              4": ["approval", "excitement", "optimism"], "                5": ["approval", "curiosity", "realization"]}
15                                                                                                                   { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval", "curiosity", "optimism"], "Annotator 3": ["approvall, caring", "realization"], "Annotator 4": ["neutral"], "Annotator 5": ["approval", "pride"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                      2": ["approval", "curiosity", "optimism"], "                  3": ["approvall, caring", "realization"], "                                         4": ["neutral"], "                                  5": ["approval", "pride"] }
16                                                                                                                                        { "Annotator 1": ["approval", "caring"], "Annotator 2": ["optimism"], "Annotator 3": ["approval", "desire"], "Annotator 4": ["approval"], "Annotator 5": ["approval", "excitement", "optimism"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                               2": ["optimism"], "                                3": ["approval", "desire"], "                                        4": ["approval"], "                 5": ["approval", "excitement", "optimism"] }
17                                                                                                                                { "Annotator 1": ["approval", "optimism"], "Annotator 2": ["neutral"], "Annotator 3": ["caring", "optimism", "approval"], "Annotator 4": ["approval", "pride"], "Annotator 5": ["approval", "optimism"] }                                                                                                                                                               { "                         1": ["approval", "optimism"], "                                                2": ["neutral"], "                    3": ["caring", "optimism", "approval"], "                               4": ["approval", "pride"], "                               5": ["approval", "optimism"] }
18                                                                                   { "Annotator 1": ["disapproval", "annoyance"], "Annotator 2": ["anger", "disgust", "annoyance"], "Annotator 3": ["disappointment", "disapproval"], "Annotator 4": ["anger", "annoyance", "disapproval"], "Annotator 5": ["disapproval", "annoyance"] }                                                                                                                                                               { "                     1": ["disapproval", "annoyance"], "                          2": ["anger", "disgust", "annoyance"], "                     3": ["disappointment", "disapproval"], "               4": ["anger", "annoyance", "disapproval"], "                           5": ["disapproval", "annoyance"] }
19                                                                                                                                                                                                               { "Annotator 1": [false], "Annotator 2": [false], "Annotator 3": [false], "Annotator 4": [false], "Annotator 5": [false] }                                                                                                                                                               { "                                          1": [false], "                                                    2": [false], "                                               3": [false], "                                             4": [false], "                                                5": [false] }
20                                                                             { "Annotator 1": ["approval", "caring"], "Annotator 2": ["disappointment", "disapproval"], "Annotator 3": ["anger", "annoyance", "disapproval"], "Annotator 4": ["fear", "nervousness", "disapproval"], "Annotator 5": ["anger", "disgust", "disapproval"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                          2": ["disappointment", "disapproval"], "                 3": ["anger", "annoyance", "disapproval"], "              4": ["fear", "nervousness", "disapproval"], "                    5": ["anger", "disgust", "disapproval"] }
22                                                                                                                         { "Annotator 1": ["approval", "optimism"], "Annotator 2": ["disapproval", "annoyance"], "Annotator 3": ["confusion"], "Annotator 4": ["fear", "nervousness"], "Annotator 5": ["disappointment", "disapproval"] }                                                                                                                                                               { "                         1": ["approval", "optimism"], "                               2": ["disapproval", "annoyance"], "                                         3": ["confusion"], "                             4": ["fear", "nervousness"], "                      5": ["disappointment", "disapproval"] }
23                                              { "Annotator 1": ["anger", "annoyance", "disapproval"], "Annotator 2": ["annoyance", "disapproval", "neutral"], "Annotator 3": ["annoyance", "disapproval", "disappointment"], "Annotator 4": ["anger", "annoyance", "disapproval"], "Annotator 5": ["anger", "annoyance", "disapproval"] }                                                                                                                                                               { "            1": ["anger", "annoyance", "disapproval"], "                    2": ["annoyance", "disapproval", "neutral"], "        3": ["annoyance", "disapproval", "disappointment"], "               4": ["anger", "annoyance", "disapproval"], "                  5": ["anger", "annoyance", "disapproval"] }
24                                                            { "Annotator 1": [ "approval", "caring", "optimism" ], "Annotator 2": [ "approval", "caring", "optimism" ], "Annotator 3": [ "approval", "careing", "realization" ], "Annotator 4": [ "pride", "approval", "caring" ], "Annotator 5": [ "approval", "caring", "gratitude" ] }                                                                                                                                                               { "             1": [ "approval", "caring", "optimism" ], "                       2": [ "approval", "caring", "optimism" ], "              3": [ "approval", "careing", "realization" ], "                   4": [ "pride", "approval", "caring" ], "                  5": [ "approval", "caring", "gratitude" ] }
25                                                                                                                           { "Annotator 1": ["approval", "curiosity"], "Annotator 2": ["desire", "approval"], "Annotator 3": ["approval", "neutral"], "Annotator 4": ["admiration", "optimism", "approval"], "Annotator 5": ["approva"] }                                                                                                                                                               { "                        1": ["approval", "curiosity"], "                                     2": ["desire", "approval"], "                               3": ["approval", "neutral"], "              4": ["admiration", "optimism", "approval"], "                                            5": ["approva"] }
26                                                                                                             { "Annotator 1": [ "approval", "caring" ], "Annotator 2": [ "approval", "desire" ], "Annotator 3": [ "approval", "optimism" ], "Annotator 4": [ "approval", "excitement" ], "Annotator 5": [ "approval", "caring", "joy" ] }                                                                                                                                                               { "                         1": [ "approval", "caring" ], "                                   2": [ "approval", "desire" ], "                            3": [ "approval", "optimism" ], "                        4": [ "approval", "excitement" ], "                        5": [ "approval", "caring", "joy" ] }
27                                              {  "Annotator 1": ["annoyance", "disapproval", "disgust"],  "Annotator 2": ["anger", "annoyance", "disapproval"],  "Annotator 3": ["caring", "optimism", "realization"],  "Annotator 4": ["annoyance", "fear", "nervousness"],  "Annotator 5": ["anger", "disappointment", "disapproval"] }                                                                                                                                                              {  "         1": ["annoyance", "disapproval", "disgust"],  "                     2": ["anger", "annoyance", "disapproval"],  "                3": ["caring", "optimism", "realization"],  "               4": ["annoyance", "fear", "nervousness"],  "             5": ["anger", "disappointment", "disapproval"] }
28                                                                                                                                                                         {"annotator_1": "disapproval", "annotator_2": "disappointment", "annotator_3": "disapproval", "annotator_4": "anger, disapproval", "annotator_5": "disapproval"}  {"annotator_1": "disapproval", "annotator_2": "disappointment", "annotator_3": "disapproval", "annotator_4": "anger, disapproval", "annotator_5": "disapproval"}                                                    None                                                              None                                                         None                                                       None                                                         None
29                                                                                                                            { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval", "pride"], "Annotator 3": ["approval", "optimism"], "Annotator 4": ["excitement", "approval"], "Annotator 5": ["approval", "gratitude"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                      2": ["approval", "pride"], "                              3": ["approval", "optimism"], "                          4": ["excitement", "approval"], "                              5": ["approval", "gratitude"] }
30                                                                                                                                              { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval"], "Annotator 3": ["approval", "caring"], "Annotator 4": ["optimism", "pride"], "Annotator 5": ["approval", "neutral"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                               2": ["approval"], "                                3": ["approval", "caring"], "                               4": ["optimism", "pride"], "                                5": ["approval", "neutral"] }
31                                                                                                                             { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval", "caring"], "Annotator 3": ["approval", "optimism"], "Annotator 4": ["approval", "realization"], "Annotator 5": ["approval", "relief"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                     2": ["approval", "caring"], "                              3": ["approval", "optimism"], "                         4": ["approval", "realization"], "                                 5": ["approval", "relief"] }
32                                                                                                                                                                { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval"], "Annotator 3": ["approval"], "Annotator 4": ["approval", "optimism"], "Annotator 5": ["approval"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                               2": ["approval"], "                                          3": ["approval"], "                            4": ["approval", "optimism"], "                                           5": ["approval"] }
33                                                                                                                                                 { "Annotator 1": ["approval", "optimism"], "Annotator 2": ["approval"], "Annotator 3": ["approval"], "Annotator 4": ["approval", "gratitude", "optimism"], "Annotator 5": ["approval"] }                                                                                                                                                               { "                         1": ["approval", "optimism"], "                                               2": ["approval"], "                                          3": ["approval"], "               4": ["approval", "gratitude", "optimism"], "                                           5": ["approval"] }
34                                                                                                                             { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval", "gratitude"], "Annotator 3": ["approval", "realization"], "Annotator 4": ["approval", "pride"], "Annotator 5": ["approval", "relief"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                  2": ["approval", "gratitude"], "                           3": ["approval", "realization"], "                               4": ["approval", "pride"], "                                 5": ["approval", "relief"] }
35                                             {\n    "Annotator 1": ["admiration", "approval"],\n    "Annotator 2": ["caring", "approval", "joy"],\n    "Annotator 3": ["optimism", "pride", "realization"],\n    "Annotator 4": ["nervousness", "disappointment", "neutral"],\n    "Annotator 5": ["admiration", "approval", "caring"]\n}                                                                                                                                                          {\n    "                  1": ["admiration", "approval"],\n    "                         2": ["caring", "approval", "joy"],\n    "             3": ["optimism", "pride", "realization"],\n    "   4": ["nervousness", "disappointment", "neutral"],\n    "                  5": ["admiration", "approval", "caring"]\n}
36                                                                 { "Annotator 1": ["approval", "caring", "realization"], "Annotator 2": ["annoyance", "disappointment"], "Annotator 3": ["approval", "caring", "realization"], "Annotator 4": ["anger", "annoyance", "disappointment"], "Annotator 5": ["approval", "caring", "desire"] }                                                                                                                                                               { "            1": ["approval", "caring", "realization"], "                            2": ["annoyance", "disappointment"], "                 3": ["approval", "caring", "realization"], "            4": ["anger", "annoyance", "disappointment"], "                       5": ["approval", "caring", "desire"] }
37                                                                                                                    {\n"Annotator 1": ["annoyance", "disapproval"],\n"Annotator 2": ["caring", "disappointment"],\n"Annotator 3": ["curiosity", "disapproval"],\n"Annotator 4": ["nervousness", "relief"],\n"Annotator 5": ["neutral"]\n}                                                                                                                                                              {\n"                    1": ["annoyance", "disapproval"],\n"                              2": ["caring", "disappointment"],\n"                         3": ["curiosity", "disapproval"],\n"                          4": ["nervousness", "relief"],\n"                                           5": ["neutral"]\n}
38                                                                                                                           { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval", "optimism"], "Annotator 3": ["approval", "relief"], "Annotator 4": ["nervousness", "pride"], "Annotator 5": ["approval", "realization"] }                                                                                                                                                               { "                           1": ["approval", "caring"], "                                   2": ["approval", "optimism"], "                                3": ["approval", "relief"], "                            4": ["nervousness", "pride"], "                            5": ["approval", "realization"] }
39                                                                     {"Annotator 1": ["approval", "caring", "admiration"], \n"Annotator 2": ["approvaal", "desire"], \n"Annotator 3": ["approval", "pride", "optimism"], \n"Annotator 4": ["approval", "excitement", "realization"], \n"Annotator 5": ["approval", "relief", "optimism"]}                                                                                                                                                                {"           1": ["approval", "caring", "admiration"], \n"                                  2": ["approvaal", "desire"], \n"                   3": ["approval", "pride", "optimism"], \n"         4": ["approval", "excitement", "realization"], \n"                      5": ["approval", "relief", "optimism"]}
40                                                                                                                                   { "Annotator 1": ["caring", "approval", "optimism"], "Annotator 2": ["approval", "caring"], "Annotator 3": ["approval", "neutral"], "Annotator 4": ["approval", "caring"], "Annotator 5": ["approv"] }                                                                                                                                                               { "               1": ["caring", "approval", "optimism"], "                                     2": ["approval", "caring"], "                               3": ["approval", "neutral"], "                              4": ["approval", "caring"], "                                             5": ["approv"] }
41                                                                                                                      { "Annotator 1": ["disapproval", "annoyance"], "Annotator 2": ["neutral"], "Annotator 3": ["disappointment", "disapproval"], "Annotator 4": ["anger", "disapproval"], "Annotator 5": ["disapproval", "annoyance"] }                                                                                                                                                               { "                     1": ["disapproval", "annoyance"], "                                                2": ["neutral"], "                     3": ["disappointment", "disapproval"], "                            4": ["anger", "disapproval"], "                           5": ["disapproval", "annoyance"] }
42                                                                      { "Annotator 1": ["approval", "caring", "optimism"], "Annotator 2": ["approval", "curiosity", "joy"], "Annotator 3": ["approval", "realization", "relief"], "Annotator 4": ["approval", "excitement", "pride"], "Annotator 5": ["approval", "caring", "optimism"] }                                                                                                                                                               { "               1": ["approval", "caring", "optimism"], "                           2": ["approval", "curiosity", "joy"], "                 3": ["approval", "realization", "relief"], "                 4": ["approval", "excitement", "pride"], "                     5": ["approval", "caring", "optimism"] }
43                                                 { "Annotator 1": ["annoyance", "caring", "disapproval"], "Annotator 2": ["anger", "annoyance", "disapproval"], "Annotator 3": ["neutral", "neutral", "neutral"], "Annotator 4": ["nervousness", "pride", "realization"], "Annotator 5": ["annoyance", "disappointment", "disapproval"] }                                                                                                                                                               { "           1": ["annoyance", "caring", "disapproval"], "                      2": ["anger", "annoyance", "disapproval"], "                     3": ["neutral", "neutral", "neutral"], "             4": ["nervousness", "pride", "realization"], "         5": ["annoyance", "disappointment", "disapproval"] }
44                                                           {\n  "Annotator 1": ["neutral", "desire"],\n  "Annotator 2": ["disappointment", "annoyance", "fear"],\n  "Annotator 3": ["realization", "caring", "optimism"],\n  "Annotator 4": ["anger", "disapproval", "annoyance"],\n  "Annotator 5": ["neutral", "curiosity", "pride"]\n}                                                                                                                                                            {\n  "                         1": ["neutral", "desire"],\n  "                 2": ["disappointment", "annoyance", "fear"],\n  "              3": ["realization", "caring", "optimism"],\n  "            4": ["anger", "disapproval", "annoyance"],\n  "                     5": ["neutral", "curiosity", "pride"]\n}
45  {\n    "Annotator 1": ["approval", "caring", "optimism"],\n    "Annotator 2": ["admiration", "approval", "curiosity", "optimism"],\n    "Annotator 3": ["approval", "gratitude", "relief", "neutral"],\n    "Annotator 4": ["approvale", "caring", "pride"],\n    "Annotator 5": ["approval", "admiration", "curiosity", "optimism"]\n}                                                                                                                                                          {\n    "          1": ["approval", "caring", "optimism"],\n    "   2": ["admiration", "approval", "curiosity", "optimism"],\n    "   3": ["approval", "gratitude", "relief", "neutral"],\n    "               4": ["approvale", "caring", "pride"],\n    "   5": ["approval", "admiration", "curiosity", "optimism"]\n}
46                                                                             {"Annotator 1": ["approval", "caring", "optimism"], "Annotator 2": ["annoyance", "disappointment", "disapproval"], "Annotator 3": ["caring", "relief"], "Annotator 4": ["fear", "remorse", "sadness"], "Annotator 5": ["approval", "gratitude", "optimism"]}                                                                                                                                                                {"               1": ["approval", "caring", "optimism"], "             2": ["annoyance", "disappointment", "disapproval"], "                                  3": ["caring", "relief"], "                      4": ["fear", "remorse", "sadness"], "                   5": ["approval", "gratitude", "optimism"]}
47                                                                                                                                 { "Annotator 1": ["approval", "caring", "optimism"], "Annotator 2": ["approval", "caring"], "Annotator 3": ["approval", "neutral"], "Annotator 4": ["approval", "caring"], "Annotator 5": ["approval"] }                                                                                                                                                               { "               1": ["approval", "caring", "optimism"], "                                     2": ["approval", "caring"], "                               3": ["approval", "neutral"], "                              4": ["approval", "caring"], "                                           5": ["approval"] }
48                                                                                 {\n  "Annotator 1": ["caring", "curiosity"],\n  "Annotator 2": ["approval", "caring"],\n  "Annotator 3": ["pride", "optimism", "relief"],\n  "Annotator 4": ["annoyance", "disappointment", "neutral"],\n  "Annotator 5": ["curiosity", "neutrality"]\n}                                                                                                                                                            {\n  "                       1": ["caring", "curiosity"],\n  "                                  2": ["approval", "caring"],\n  "                    3": ["pride", "optimism", "relief"],\n  "       4": ["annoyance", "disappointment", "neutral"],\n  "                           5": ["curiosity", "neutrality"]\n}
49                                                                                                                          {\n  "Annotator 1": ["approval", "optimism"],\n  "Annotator 2": ["desire", "excitement"],\n  "Annotator 3": ["pride", "caring"],\n  "Annotator 4": ["admiration", "approval"],\n  "Annotator 5": ["neutral"]\n}                                                                                                                                                            {\n  "                      1": ["approval", "optimism"],\n  "                                2": ["desire", "excitement"],\n  "                                3": ["pride", "caring"],\n  "                       4": ["admiration", "approval"],\n  "                                           5": ["neutral"]\n}